,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,cluster_id
s397,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s398,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s399,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s400,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s401,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s402,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s403,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s404,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s405,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s406,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s408,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s409,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s410,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s411,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s412,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s413,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s414,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s415,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s416,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s417,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s418,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s419,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s420,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s421,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s423,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s424,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s425,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s426,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s427,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s428,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s429,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s430,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s431,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s432,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s434,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s435,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s436,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s437,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s438,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s439,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s440,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s441,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s442,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s443,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s444,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s446,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s447,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s448,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s449,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s450,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s451,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s452,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s453,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s454,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s457,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s458,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s459,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s460,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s461,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s462,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s463,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s464,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s465,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s466,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s467,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s468,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s469,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s470,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s471,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s472,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s473,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s474,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s475,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s476,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s477,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s479,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s480,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s482,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s483,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s484,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s485,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s486,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s487,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s488,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s489,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s491,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s493,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s494,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s495,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s496,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s497,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s499,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s501,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s502,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s503,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s504,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s505,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s506,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s507,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s508,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s509,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s510,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s511,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s512,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s513,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s514,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s515,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s516,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s517,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s518,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s519,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s521,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s522,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s523,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s524,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s526,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s527,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s528,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s529,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s530,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s531,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s532,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s533,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s534,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s535,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s536,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s537,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s539,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s540,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s541,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s542,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s544,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s545,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s546,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s547,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s548,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s549,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s550,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s551,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s552,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s553,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s554,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s555,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s556,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s557,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s561,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s562,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s564,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s565,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s566,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s567,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s568,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s569,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s571,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s573,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s574,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s575,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s576,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s577,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s579,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s580,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s581,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s583,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s584,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s586,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s587,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s588,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s589,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s590,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s591,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s592,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s593,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s594,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s595,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s596,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s597,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s599,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s600,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s601,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s602,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s603,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s604,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s605,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s606,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s608,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s609,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s610,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s611,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s612,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s613,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s614,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s616,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s617,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s618,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s619,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s620,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s621,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s622,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s623,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s624,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s625,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s627,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s628,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s630,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s631,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s632,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s633,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s634,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s635,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s636,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s637,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s638,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s639,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s640,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s641,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s642,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s643,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s644,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s645,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s646,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s647,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s648,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s649,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s650,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s651,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s652,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s653,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s654,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s655,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s657,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s659,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s660,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s661,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s662,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s663,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s664,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s666,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s667,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s668,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s669,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s670,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s671,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s672,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s674,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s675,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s676,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s677,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s678,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s679,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s680,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s681,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s682,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s683,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s684,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s685,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s686,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s687,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s688,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s690,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s691,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s692,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s693,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s694,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s696,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s697,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s698,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s699,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s700,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s701,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s702,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s703,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s704,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s707,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s708,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s709,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s710,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s711,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s713,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s714,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s715,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s718,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s719,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s720,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s721,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s722,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s723,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s724,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s725,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s726,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s727,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s728,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s729,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s730,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s731,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s732,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s734,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s735,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s736,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s737,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s738,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s739,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s740,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s741,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s742,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s743,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s744,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s745,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s746,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s747,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s748,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s749,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s750,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s751,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s752,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s753,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s754,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s755,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s756,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s757,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s758,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s760,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s761,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s762,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s763,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s764,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s765,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s766,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s768,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s769,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s770,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s772,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s773,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s774,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s775,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s776,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s778,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s780,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s782,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s783,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s784,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s785,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s786,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s787,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s788,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s789,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s790,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s791,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s792,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s793,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
